,0,1
EDITION,3,[ 40.   9.  nan]
PAGE,593,more than 100
GRID_REFERENCE_X,22,"['G' 'H' 'C' 'J' 'A' 'B' 'E' 'D' 'F' 'K' 'N' 'P' 'R' nan 'V' 'Q' 'S' 'U'
 'L' 'M' 'O' 'T']"
GRID_REFERENCE_Y,15,[  7.   8.  11.   5.   2.   4.   3.   9.   6.  12.   1.  10.  nan  13.  14.]
LIGHT_CONDITION,7,[1 3 5 2 9 6 4]
Light Condition Desc,7,"['Day' 'Dark Street lights on' 'Dark No street lights' 'Dusk/Dawn'
 'Unknown' 'Dark Street lights unknown' 'Dark Street lights off']"
NODE_ID,98224,more than 100
NO_OF_VEHICLES,16,[ 3  2  1  4  5  6 12 10  7  8 11 19  9 13 16 14]
NO_PERSONS,42,"[ 6  4  2  3  1  5  7  9  8 16 13 12 11 14 17 10 15 22 48 41 21 36 38 50 19
 30 35 18 67 45 20 32 28 27 31 97 37 23 29 40 89 24]"
NO_PERSONS_INJ_2,15,[ 0  1  2  3  5  4 12  6  8  9  7 13 11 14 10]
NO_PERSONS_INJ_3,19,[ 1  0  3  2  4  6  7  5 10 14 16 11  8 12  9 26 23 13 25]
NO_PERSONS_KILLED,9,[ 0  1  2  6  7  3 11  4  5]
NO_PERSONS_NOT_INJ,37,"[ 5  3  1  0  4  2  7  8  6 11  9 13 15 12 20 47 29 10 14 35 24 18 21 39 17
 66 28 32 19 16 27 87 46 36 22 26 23]"
POLICE_ATTEND,3,[1 2 9]
ROAD_GEOMETRY,9,[1 2 5 4 3 9 6 8 7]
Road Geometry Desc,9,"['Cross intersection' 'T intersection' 'Not at intersection'
 'Multiple intersection' 'Y intersection' 'Unknown' 'Dead end'
 'Private property' 'Road closure']"
SEVERITY,4,[3 2 1 4]
SPEED_ZONE,13,[ 60  70 100  80  50 110  90  75  40 999 888 777  30]
